,Title,Abstract,Keywords,eia
0,"Fiscal decentralization’s impact on carbon emissions and its interactions
with environmental regulations, economic development, and
industrialization: Evidence from 288 cities in China","Given the global focus on climate change and sustainable development, understanding the impact of China’s
fiscal decentralization on carbon emissions is essential for supporting green transformation and achieving carbon
peaking and neutrality targets. This study examines data from 288 Chinese cities between 2003 and 2021, using
fixed effects, moderation effects, and threshold effects models to assess the relationship between fiscal decen-
tralization and carbon emissions, alongside its interaction with environmental regulation, economic develop-
ment, industrialization, and city hierarchy. The results show that fiscal decentralization significantly aids carbon
reduction, but stronger environmental regulations have not effectively slowed emission growth, creating a ""green
paradox."" Relaxed regulations prioritize short-term economic gains, leading to underinvestment and fragmented
regulatory efforts, which weaken emissions control. As economic development advances, fiscal decentralization’s
impact on carbon emissions shifts from positive to negative. Additionally, with increasing industrialization, the
negative influence of fiscal decentralization on emission intensity becomes more pronounced. In non-first-tier
cities, weak regulatory enforcement and limited autonomy hinder effective carbon reduction policies. To
address these issues, the central government should enhance guidance and oversight of local environmental
policies, ensure strict enforcement, optimize fiscal resources for environmental investment, and promote green
economic transformation. A tailored approach to fiscal decentralization is needed to balance economic growth
with environmental protection, achieving mutually beneficial outcomes","Fiscal decentralization
Carbon emission reduction
Environmental regulation
Moderation effects
Threshold effects ",0.0
1,"NAMBER: A biotic index for assessing the ecological quality of
mesophotic biogenic reefs in the northern Adriatic Sea","he aim of the present study was to propose a biotic index (North Adriatic
Mesophotic BiogEnic Reefs, NAMBER) suitable for assessing the ecological quality
of the mesophotic biogenic reefs of the northern Adriatic continental shelf based
on photographic sampling.
2. At each of the 20 study sites, the degree of bioconstruction (expressed as
percentage cover of crustose coralline algae), the α-diversity (expressed as the
mean number of taxa), and the degree of sensitivity to human disturbance and
climate change (based on literature data and expert judgement) of the benthic
assemblages were selected as descriptors and combined in the NAMBER index,
using the best values that the three metrics can currently achieve in the studied
region as a reference.
3. The study highlighted that there was large spatial heterogeneity among reefs and
high variability in the ecological quality values obtained by NAMBER, ranging from
bad to high. The index indicates that reefs lying furthest from the coast, under
substantially lower anthropogenic pressure, have a generally higher status of
environmental quality. However, a clear geographical pattern did not emerge, as
reefs close together often had different ecological qualities.
4. The NAMBER index, which combines three ecological descriptors, in accordance
with the requirements of the European Marine Strategy Framework Directive,
represents a specific adaptation to the northern Adriatic Sea of a multimetric
index previously developed for the north-western Mediterranean Sea, capitalizing
on previous knowledge and research efforts.
5. This multimetric biotic index provides an effective standardized tool for
monitoring programmes and environmental impact assessments in the northern
Adriatic mesophotic biogenic reefs and lays the foundation for ecosystem-based
management and conservation in this basin","
coralligenous assemblages, environmental status, hard bottom, Mediterranean Sea,
photographic sampling, species diversity ",0.0
2,"Conceptual guidelines for the implementation of the  
ecosystem approach in biodiversity monitoring","The theoretical concept of the ecosystem approach (EA) aims at assessing ecosystem function 
based on integrative assessments of multiple levels of biological organization. Since the United Nations 
Convention on Biological Diversity in 1992, the EA has been increasingly integrated into environmental 
policy and legislation, but to date, its practical implementation remains vague with a lack of universal 
guidelines and concrete recommendations for its use across ecosystem boundaries. On the basis of a re-
view of scientific literature, worldwide environmental legislation and existing monitoring approaches, 
we identified the most important factors which hamper the feasibility of the EA. We propose a general-
ly applicable methodology for implementing the EA in ecological and environmental monitoring across 
different ecosystems and habitat types. Successful application of the EA largely depends on adequately 
standardized and synchronized sampling designs for all abiotic and biotic components, appropriate depth 
of taxonomic identification, and sufficient spatial and temporal replication. The proposed step- by- step 
guidelines for using the EA are valid across ecosystem types, geographic regions, and for a variety of data 
types, making them promising tools for ecological monitoring","biodiversity; ecosystem change; environment; impact assessment; multiple taxonomic groups; multivariate 
data integration; restoration ",0.0
3,Expertise and Public Participation in the Context of Nuclear Risk: Democracy and Environmental Licensing of Angra 3,"This article discusses the specificity of citizens' ""participation"" in contexts of decision-making on the acceptance of nuclear risk, demonstrating that such acceptance depends on mediation by professionals who are willing to translate the typical scientific jargon of technical reports and/or produce their own reports, by way of counter-expertise; otherwise, lay people are unable to confer scientific legitimacy to their arguments. The basic empirical references for the current analysis are the recurrent themes from public hearings organized for licensing of two Brazilian nuclear power plants using German technology, Angra 2 and Angra 3, with an emphasis on the latter, now undergoing prior environmental licensing. The forms of ""social control"" engendered in France serve as a counterpoint for developing the article's argument.",nuclear risk; people's participation; expertise ,1.0
4,"AN INTERPRETATIVE MODEL FOR THE MANAGEMENT OF
CONTEMPORARY CULTURAL LANDSCAPES IN LINEAR
INFRASTRUCTURE PROJECTS"," Structures and potentialities of cultural landscapes have been studied mostly under a historical perspective.
This article questions if contemporary societies can develop cultural landscapes. Starting from an analysis of the
structure of contemporary landscapes, it investigates methods of developing cultural landscapes with contemporary
knowledge and background. The theoretical assumptions are based on an ecosystem approach and consider the
social and functional values in relation to the infrastructure project. Linear infrastructures are the physical basis for
material and immaterial links between societies. They structure local territories, but more often reflect upper level
rationalities thus physically cross areas without providing a local service. An interpretative model to support
cultural landscape dynamics within linear infrastructure projects was developed and tested in three Italian
transportation infrastructures. The model was based on the analysis of the structure and the generating processes
of contemporary cultural landscapes and makes use of criteria and indicators","contemporary cultural landscape, linear infrastructure, environmental impact assessment, landscape
management, Italy ",0.0
5,Reforming EIA systems: A critical review of proposals in Brazil,"Environmental Impact Assessment (EIA) systems are under pressure in many countries, driven by a call for efficiency
and streamlining. Such a phenomenon is particularly clear in Brazil,where, in the past fewyears, a number
of influential associations put forward documents proposing significant changes to environmental licensing and
impact assessment regulations. So far, there is no publicly available information about any initiative towards
scrutinizing those proposals. The objective of this study was to critically review the merits and drawbacks of
the changes proposed in those documents. The analysis triangulated content analysis, focus group and online survey
data. The focus group included ten seasoned Brazilian EIA specialists; the survey, based on Likert-scale and
open-ended questions, resulted in 322 valid responses from EIA professionals. Results show that the proposals
generally agree that the current EIA system, while playing a key role in mitigating impacts and enhancing project
design, needs many changes.Nonetheless, the proposals neither offered solutions to overcomepolitical, technical
and budget barriers, nor established a sense of priority of the most urgent issues. Findings from the focus group
and the survey signaled that a number of proposed actions might face public outcry, and that those changes that
do not depend on legislative action are more likely to be implementable. Previous studies about EIA reform focused
mostly on the context of developed countries after changes had taken place. This study, while addressing
the perspective of a large developing country in a “before-reform” stage, shows that capacity-building is a key requirement
in EIA reform.","Environmental Impact Assessment (EIA)
Environmental licensing
Policy change
Policy evaluation
Environmental policy
Developing country ",1.0
6,"A Scenario Based Impact Assessment of Trace Metals
on Ecosystem of River Ganges Using Multivariate Analysis
Coupled with Fuzzy Decision-Making Approach","The growing consciousness about the health risks associated with environmental
pollutants has brought a major shift in global concern towards prevention of hazardous/
trace metals discharge in water bodies. Majority of these trace metals gets accumulated in
the body of aquatic lives, which are considered as potential indicators of hazardous
content. This results in an ecological imbalance in the form of poisoning, diseases and
even death of fish and other aquatic lives, and ultimately affect humans through food
chain. Trace metals such as Cd, Cr, Cu, Mn, Ni, Pb and Zn originated from various
industrial operations containing metallic solutions and agricultural practices, have been
contributing significantly to cause aquatic pollution. The present study develops a novel
approach of expressing sustainability of river’s ecosystem based on health of the fish by
coupling fuzzy sensitivity analysis into multivariate analysis. A systematic methodology
has been developed by generating monoplot, two dimensional biplot and rotated compo-
nent matrix (using ‘Analyze it’and ‘SPSS’software), which can simultaneously identify
critical trace metals and their industrial sources, critical sampling stations, and adversely
affected fish species along with their interrelationships. A case study of assessing the
impact of trace metals on the aquatic life of river Ganges, India has also been presented
to demonstrate effectiveness of the model. The clusters pertaining to various water quality
parameters have been identified using Principal Component Analysis (PCA) to determine
actual sources of pollutants and their impact on aquatic life. The fuzzy sensitivity analysis
reveals the cause-effect relationship of these critical parameters. The study suggests
pollution control agencies to enforce appropriate regulations on the wastewater dischargers
responsible for polluting river streams with a particular kind of trace metal(s)","Aquatic ecosystem . Fuzzy decision-making . Impact assessment . Multivariate
analysis . River ecosystem . Water quality ",0.0
7,"Spatial and temporal response of multiple trait-based indices to
natural- and anthropogenic seafloor disturbance (effluents)","To support ecosystem-based management and achieve the Good Environmental Status (GES) of marine
waters it is important to better comprehend the relationships between biodiversity and environmental
disturbance (anthropogenic and natural). Biotic indices are widely used in studies to help understanding
these relationships and to assess the environmental status of waters. In recent years, trait-based indices
rapidly emerged as an alternative ‘functional’ approach to serve this purpose. In this study, we analysed
how two indices based upon the mean (community-weighted mean trait value–CWM) and the diversity
of multiple traits (Rao’s quadratic entropy–Rao) in a macroinvertebrate community respond to natural-
and anthropogenic seafloor disturbance (effluents) and we compared their performance with the widely
used AMBI and M-AMBI. Our results demonstrate that CWM and Rao were not effective in indicating
anthropogenic disturbance in the Basque coast, Bay of Biscay. The main reason was probably that many
traits did not have a strong link with this type of disturbance. Besides, the mechanistic links between
certain traits and their response to anthropogenic seafloor disturbance in marine environments is cur-
rently not well understood. From a management perspective: the CWM does not provide a single value
indicating a quality status, which makes it a difficult tool to use and interpret. This index is probably more
useful for scientists who want to explore and understand different aspects of community functioning. On
the other hand, Rao and other indices expressing trait diversity do provide a single value of functioning;
therefore they could potentially be effectively used for management purposes. However, to improve its
performance, detailed and accurate trait data is required, which is currently lacking for many marine
species","Ecosystem functioning
Impact assessment
Marine Strategy Framework Directive
Macroinvertebrates
Biodiversity
Ecological indicators ",0.0
8,"Environmental Impact Assessment of reservoir construction: new perspectives for restoration economy, and development: the Belo Monte Power Plant case study","The Environmental Impact Assessment of reservoir construction can be viewed as a new strategic perspective for the economic development of a region. Based on the principles of a watershed approach a interdisciplinary and multidisciplinary systemic view including biogeophysiographical, economic and socio environmental studies the new vision of a EIA provides a basic substratum for the restoration economy and an advanced model for the true development much well ahead of the modernization aspects of the project of a reservoir construction.",watersheds; reservoirs; development; restoration economy ,1.0
9,"Is environmental impact assessment fulfilling its
potential? The case of climate change in renewable
energy projects","One of the topics receiving much attention in recent years is climate change and the potential of its integration in impact
assessment, both in terms of achieving mitigation and adaptation. Renewable energy projects are part of the efforts to
mitigate climate change, replacing the use of fossil fuel with CO2-neutral energy sources. A variety of these projects are
subject to environmental impact assessment (EIA), which raises the following questions: What role does an impact
assessment play? When is the project environmentally friendly? How are climate change-related impacts assessed in
projects with inherent positive effects on climate change? This paper reviews practice, and takes up these questions based on
a document study of 19 EIA reports of renewable energy projects in Denmark. The results show that climate change
mitigation is included in 18 of the EIA reports reviewed, while adaptation is absent. Also, the results show an emphasis on
positive impacts in the reports, and in a few cases discussions of enhancements. Identification and assessment of negative
climate change impacts are less apparent. This leads to a discussion of the results in the light of the purpose of EIA",environmental impact assessment; climate change; renewable energy; positive impacts; enhancement ,1.0
